securityName,securityClass,putCall,cusipSedol,isin,manualIdentifier,ticker,formType,name,lei,currencyCode,payoffProfile,issuerClass,fairValueLevel,couponKind,countryCode,units,fileDate,effectiveDate,superceded,principal,shares,percent,value,sharesChange,percentChange,prevShares,prevValue,percentValueChange,percentOwnershipChange,sharePrice,costBasis,profit,performance,sharesMultiplier,valueMultiplier,allocation,prevAllocation,allocationPercentChange,allocationChange,current,unrealized,realized,pageDataId,lineNbr,default,option,formTypeShort,bestIdentifier,restricted,safeAllocationChange,latestUnrealized,formattedFileDate,valueChange,slug,url,ownershipPercent,ownershipPercentChange,sharesPercentChange,valuePercentChange
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,"Two Sigma Investments, Lp",,,,,,,,,2026-05-15,2026-03-31,False,,59536,,155984,0,0.0,59536.0,106.0,46.23,,0.9876161,58.79871,,,,0.001,0.00012586390609440183,0.00015031366904082432,-16.265828053057554,-2.444976294642249e-05,,97.18561,,,,,False,13F,G47862100,,-2.444976294642249e-05,110.8789,05-15,49000,two-sigma-investments-llc,https://fintel.io/i/two-sigma-investments-llc,0.053023691221429,0.0,0.0,46.23
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,UBS Group AG,,,,,,,,,2026-05-05,2026-03-31,False,,2178,,5706,-8397,-79.40425531914893,10575.0,18.0,-72.22,,2.161,-18.145917,5.851917,32.51065,,0.001,1.5984366135231083e-07,5.507311998232265e-07,-70.97610206147439,-3.908875384709157e-07,,,,,,,False,13F,G47862100,,-3.908875384709157e-07,,05-05,-13000,ubs,https://fintel.io/i/ubs,0.001939760808255045,-79.40425531914893,-79.40425531914893,-72.22
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,"Geode Capital Management, Llc",,,,,,,,,2026-05-15,2026-03-31,False,,39561,,103649,0,0.0,39561.0,70.0,47.14,,1.798969,71.16901,,,,0.001,6.4476914086618795e-06,4.370042984757571e-06,47.54297454626906,2.0776484239043087e-06,,32.48081,,,,,False,13F,G47862100,,2.0776484239043087e-06,41.57984,05-15,33000,geode-capital-management-llc,https://fintel.io/i/geode-capital-management-llc,0.03523364432294666,0.0,0.0,47.14
Currenc Group Inc,COM,,G47862100,,,,13F-HR,"SBI Securities Co., Ltd.",,,,,,,,,2026-04-28,2026-03-31,False,,75,,197,0,0.0,75.0,0.0,,,1.942347,0.145676,,,,0.001,5.399481518596963e-06,3.4448573995816516e-06,56.74034923049889,1.954624119015311e-06,,0.05082397,,,,,False,13F,G47862100,,1.954624119015311e-06,0.068074,04-28,0,sbi-securities-co-ltd-2148,https://fintel.io/i/sbi-securities-co-ltd-2148,6.67961710831627e-05,0.0,0.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Virtu Financial LLC,,,,,,,,,2026-05-14,2026-03-31,False,,0,,0,-17181,-100.0,17181.0,0.0,,,,0.0,0.0,,,0.001,0.0,0.001200861986481393,-100.0,-0.001200861986481393,,,,,,,False,13F,G47862100,,-0.001200861986481393,,05-14,0,virtu-financial-llc,https://fintel.io/i/virtu-financial-llc,0.0,-100.0,-100.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,"Cwm, Llc",,,,,,,,,2026-05-14,2026-03-31,False,,822,,2154,0,0.0,822.0,0.0,,,1.677943,1.379269,,,,0.001,5.660407432101083e-06,2.7094918104255284e-06,108.91029861470999,2.9509156216755547e-06,,0.7743708,,,,,False,13F,G47862100,,2.9509156216755547e-06,0.963431,05-14,2000,cwm-llc,https://fintel.io/i/cwm-llc,0.0007320860350714632,0.0,0.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Quadrature Capital Ltd,,,,,,,,,2026-05-15,2026-03-31,False,,10497,,27502,10497,,,,,,1.9775,20.75782,,,,0.001,0.00032724122220794587,,,0.00032724122220794587,,6.744322,,,,,False,13F,G47862100,,0.00032724122220794587,9.15863,05-15,27000,quadrature-capital,https://fintel.io/i/quadrature-capital,0.009348792104799452,,,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Tower Research Capital LLC (TRC),,,,,,,,,2026-02-17,2025-12-31,False,,0,,0,-100,-100.0,100.0,0.0,,,,0.0,0.0,,,0.001,0.0,4.635688106584169e-06,-100.0,-4.635688106584169e-06,,,,,,,False,13F,G47862100,,-4.635688106584169e-06,,02-17,0,tower-research-capital-llc-trc-,https://fintel.io/i/tower-research-capital-llc-trc-,0.0,-100.0,-100.0,
CURRENC GROUP INC,EC,,N/A,KYG478621009,,,NPORT-P,FNCMX - FIDELITY CONCORD STREET TRUST - Fidelity Nasdaq Composite Index Fund,N/A,USD,Long,CORP,1,,KY,NS,2026-04-24,2026-02-28,False,,39561,,82682,0,0.0,39561.0,104.0,-21.15,,1.532884,60.64244,,,1.0,0.001,0.000365844305,0.00045073897,-18.83455184715889,-8.4894665e-05,,22.04005,,,2466.0,,False,NP,KYG478621009,,-8.4894665e-05,52.10641,04-24,-22000,fidelity-concord-street-trust-fidelity-nasdaq-composite-index-fund,https://fintel.io/i/fidelity-concord-street-trust-fidelity-nasdaq-composite-index-fund,0.03523364432294666,0.0,0.0,-21.15
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Antara Capital LP,,,,,,,,,2026-02-17,2025-12-31,False,,0,,0,-263200,-100.0,263200.0,442.0,-100.0,,,-442.0,0.0,,,0.001,,90.2063107043696,-100.0,-90.2063107043696,,,,,,,False,13F,G47862100,,-90.2063107043696,,02-17,-442000,antara-capital,https://fintel.io/i/antara-capital,0.0,-100.0,-100.0,-100.0
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,XTX Topco Ltd,,,,,,,,,2026-05-15,2026-03-31,False,,37849,,99164,-4255,-10.105928177845335,42104.0,75.0,32.0,,1.861483,70.45528,,,,0.001,0.0017242782947595433,0.001978977072848204,-12.870223793047304,-0.0002546987780886607,,28.7091,,,,,False,13F,G47862100,,-0.0002546987780886607,37.41437,05-15,24000,xtx-topco-ltd,https://fintel.io/i/xtx-topco-ltd,0.03370891039102167,-10.105928177845335,-10.105928177845335,32.0
CURRENC GROUP INC,COMMON,,G47862100,,,,13F-HR/A,Jpmorgan Chase & Co,,,,,,,,,2026-05-13,2026-03-31,False,,118,,282,118,,,,,,1.9775,0.233345,,,,0.001,1.811013077570801e-08,,,1.811013077570801e-08,,0.075815,,,,,False,13F/A,G47862100,,1.811013077570801e-08,0.102955,05-13,0,jpmorgan-chase-,https://fintel.io/i/jpmorgan-chase-,0.000105092642504176,,,
INFINT ACQUISITION CORP,COM,,G47862100,,,,13F-HR/A,Barclays Plc,,,,,,,,,2026-03-30,2023-03-31,False,,0,,0,-300000,-100.0,300000.0,3108000.0,,,,,,,,0.001,,,,,,,,,,,False,13F/A,G47862100,,0.0,,03-30,-3108000000,barclays,https://fintel.io/i/barclays,0.0,-100.0,-100.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,"Kestra Advisory Services, LLC",,,,,,,,,2026-04-30,2026-03-31,False,,57910,,151724,57910,,,,,,1.9775,114.517,,,,0.001,0.0005741653704329852,,,0.0005741653704329852,,37.20718,,,,,False,13F,G47862100,,0.0005741653704329852,50.5265,04-30,151000,kestra-advisory-services-llc,https://fintel.io/i/kestra-advisory-services-llc,0.05157555023234603,,,
CURRENC GROUP IN,COMMON STOCK,,G47862100,,,,13F-HR,"Marshall Wace, Llp",,,,,,,,,2026-05-14,2026-03-31,False,,0,,0,-10535,-100.0,10535.0,18.0,-100.0,,,-18.0,0.0,,,0.001,,1.7165756233166412e-05,-100.0,-1.7165756233166412e-05,,,,,,,False,13F,G47862100,,-1.7165756233166412e-05,,05-14,-18000,marshall-wace-llp,https://fintel.io/i/marshall-wace-llp,0.0,-100.0,-100.0,-100.0
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Citadel Advisors Llc,,,,,,,,,2026-05-15,2026-03-31,False,,58345,,152864,58345,,0.0,0.0,,,1.9775,115.3772,,,,0.001,2.4716350978983194e-05,,,2.4716350978983194e-05,,37.48666,,,,,False,13F,G47862100,,2.4716350978983194e-05,50.90605,05-15,152000,citadel-advisors-llc,https://fintel.io/i/citadel-advisors-llc,0.05196296802462837,,,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Citigroup Inc,,,,,,,,,2026-05-11,2026-03-31,False,,1,,3,1,,0.0,0.0,,,1.9775,0.0019775,,,,0.001,1.2790765513386661e-09,0.0,,1.2790765513386661e-09,,0.0006425,,,,,False,13F,G47862100,,1.2790765513386661e-09,0.0008725,05-11,0,citigroup,https://fintel.io/i/citigroup,8.906156144421694e-07,,,
CURRENC GROUP INC,CL A ORD SHS,Call,G47862100,,,,13F-HR,Millennium Management Llc,,,,,,,,,2026-05-15,2026-03-31,False,,26086,,9562,26086,,,,,,1.9775,51.58506,,,,0.001,3.979342444394305e-06,,,3.979342444394305e-06,,16.76026,,,,,call,13F,G47862100,,3.979342444394305e-06,22.76004,05-15,9000,millennium-management-llc,https://fintel.io/i/millennium-management-llc,0.02323259891833843,,,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Morgan Stanley,,,,,,,,,2026-05-15,2026-03-31,False,,729215,,1910543,0,0.0,729215.0,1305.0,46.36,,1.99106,1451.911,,,,0.001,0.00011510774772550159,7.792939137144752e-05,47.70774633263184,3.717835635405407e-05,,458.6321,,,,,False,13F,G47862100,,3.717835635405407e-05,626.3518,05-15,605000,morgan-stanley,https://fintel.io/i/morgan-stanley,0.6494502652854465,0.0,0.0,46.36
